"link","Link_url","count"
"[Rd] a small suggestion for improving the building of packages ","https://stat.ethz.ch/pipermail/r-devel/2010-September/058516.html",17
"[Rd] Problem with WARNING...headers with CRLF line endings ","https://stat.ethz.ch/pipermail/r-devel/2010-September/058479.html",17
"[Rd] GPL and R Community Policies (Rcpp) ","https://stat.ethz.ch/pipermail/r-devel/2010-December/059271.html",17
"[Rd] Standardized Pearson residuals ","https://stat.ethz.ch/pipermail/r-devel/2011-March/060199.html",17
"[Rd] Curry: proposed new functional programming, er, function. ","https://stat.ethz.ch/pipermail/r-devel/2011-May/060854.html",17
"[Rd] Error message library() ","https://stat.ethz.ch/pipermail/r-devel/2011-October/062349.html",17
"[Rd] readRDS and saveRDS ","https://stat.ethz.ch/pipermail/r-devel/2011-October/062272.html",17
"[Rd] Quiz: How to get a ""named column"" from a data frame ","https://stat.ethz.ch/pipermail/r-devel/2012-August/064643.html",17
"[Rd] compiling C code using headers from another R package ","https://stat.ethz.ch/pipermail/r-devel/2013-March/066079.html",17
"[Rd] Minimum requirements for package submission ","https://stat.ethz.ch/pipermail/r-devel/2013-August/067256.html",17
"[Rd] C++ debugging help needed ","https://stat.ethz.ch/pipermail/r-devel/2013-October/067616.html",17
"[Rd] Is using devtools::release no longer allowed? ","https://stat.ethz.ch/pipermail/r-devel/2014-August/069586.html",17
"[Rd] Linking to the BH package introduces CRAN warnings ","https://stat.ethz.ch/pipermail/r-devel/2014-November/070055.html",17
"[Rd] unlicense ","https://stat.ethz.ch/pipermail/r-devel/2017-January/073596.html",17
"[Rd] R CMD check warning about compiler warning flags ","https://stat.ethz.ch/pipermail/r-devel/2017-December/075268.html",17
"[Rd] Offer zip builds ","https://stat.ethz.ch/pipermail/r-devel/2019-June/077921.html",17
"time series in R ","https://stat.ethz.ch/pipermail/r-devel/1999-July/019394.html",16
"[Rd] data() misbehaving inside a function ","https://stat.ethz.ch/pipermail/r-devel/2003-October/027861.html",16
"[Rd] Building Packages on Windows using .Rbuildignore (PR#7379) ","https://stat.ethz.ch/pipermail/r-devel/2004-November/031417.html",16
"[Rd] Re: [R] Problem going back to a viewport with gridBase ","https://stat.ethz.ch/pipermail/r-devel/2005-June/033411.html",16
"[Rd] prod(numeric(0)) surprise ","https://stat.ethz.ch/pipermail/r-devel/2006-January/036041.html",16
"[Rd] Stack checking, core dumps, and embedding R ","https://stat.ethz.ch/pipermail/r-devel/2006-April/037217.html",16
"[Rd] UTF-8 and .Rd files ","https://stat.ethz.ch/pipermail/r-devel/2006-June/038242.html",16
"[Rd] options(""quit.with.no.save""), and Windows installer changes ","https://stat.ethz.ch/pipermail/r-devel/2006-July/038322.html",16
"[Rd] Error condition in evaluating a promise ","https://stat.ethz.ch/pipermail/r-devel/2006-October/043147.html",16
"[Rd] IDE for R C++ package writing ? ","https://stat.ethz.ch/pipermail/r-devel/2007-February/044734.html",16
